id	source with headwords	gender labels of headwords
1	Queen [[Anne]] of Romania	Female
2	Pay [[driver]]	Amb
3	Top Serbian female tennis [[players]]	Female
4	British [[Eagle]]	Amb
5	Olympic [[champions]] 4 × 400 metres [[women]]	Female,Female
6	Brothers [[Lewandowski]]	Male
7	And it's been a minute since [[we've]] had a California song and especially from a [[girl's]] perspective.	Amb,Female
8	[[Hans-Georg Beck]]: Kaiserin [[Theodora]] und [[Prokop]]: der Historiker und sein Opfer.	Amb,Female,Male
9	After the [[singer]] heard the renditions of his songs by the 7 year old [[Nasrat]], he got in touch with the child and invited him to sing with him.	Male,Male
10	As a consequence of various events in his life, the [[artist]] was acutely sensitive to power and powerlessness.	Male
11	So [[she]] tried to be an [[editor]] at the Independent Filmm and did not have any luck at first, which is why she looked at the [[student]] film and cut many smaller student projects.	Female,Female,Amb
12	[[Florian]] is obliged to decline, as his principal [[actor]] is dead, for which he blames the [[Minister]].	Male,Male,Amb
13	In 2015, the campaign received attention in Iceland after a teenage [[student]] activist posted a photo of herself topless and was harassed for doing so.	Female
14	As [[head]] of the AAVSO for over 30 years, [[she]] collected observations of variable stars by amateur [[astronomers]] from around the world.	Female,Female,Amb
15	The headstones show the biblical apostles [[Simon]] and [[Jude]] (Thaddeus) and [[Mary]] with the [[Child]] as Queen of Heaven.	Male,Male,Female,Female
16	[[I]] am not a materialistic [[person]], and I certainly wasn't a [[virgin]], and, by the way, how can [[you]] be like a virgin?	Amb,Amb,Amb,Amb
17	[[They]] are renowned for their dance, song and poetry, and are a traditional symbol of feminine beauty, grace and accomplishment.	Female
18	If a [[character]] dies, he cannot be resurrected.	Male
19	The fulfilment of these conditions means an additional time expenditure at the modeling, if these conditions are met, all [[employees]] are able to "surf" online through the intranet with the help of the process [[assistant]] by an informative enterprise documentation.	Amb,Amb
20	The award was given to [[Allen]] for his reporting of President [[George W. Bush’s]] secret trip to Baghdad, Iraq.	Male,Amb
21	This trend, however, was somewhat reversed when the [[House]] of [[Stuart]] came to the English throne in 1603.	Amb,Amb
22	She is also an active [[supporter]] of UNICEF.	Female
23	She is the [[author]] of the books Jewish and Female and Intermarriage: The Challenge of Living with Differences between [[Christians]] and [[Jews]], and co-author of Head and Heart, about money in the lives of [[women]].	Female,Amb,Amb,Female
24	However, the medicine in those days was highly undeveloped and Archduchess [[Maria Theresa]] died on 23 January 1770 from a very high fever.	Female
25	Another important observation is that this way the success of one [[prisoner]] is not independent of the success of the other [[prisoners]], because they all depend on the way the numbers are distributed.	Amb,Amb
26	In addition to her work with Mercedez-Benz, [[she]] was also an [[executive]] for knowledge transfer and leadership development at the DaimlerChrysler Corporate University in USA, Singapore, and Germany until 2001.	Female,Female
27	Hua Tou practice does not use regular interviews and question and answer sessions between [[student]] and [[teacher]] (dokusan).	Amb,Amb
28	Apart from the Hierothesion which [[Antiochos]] himself built on Nemrut Dağı, and the second one on Karakuş which his son [[Mithridates II]] built for the female [[members]] of the royal house, a third is to be found in Arsameia, the burial site and the associated cultic area for Antiochus' father [[Mithridates]].	Male,Male,Female,Male
29	[[Karl]]...	Amb
30	The San Antonio Express reported in 1939 that the funds granted to the Hogg Foundation for Mental Health would be used to establish mental hygiene clinics and conduct lectures and [[teacher]] training courses across Texas, for mental health research, and to survey mental hygiene conditions in Texas.	Amb
31	It is also said that he was a mediocre [[student]].	Male
32	[[Green]], however, did not enter the season [[squad]] and at the end of the year he signed a contract with the [[Canberra Gunners]] of the South East Australian Basketball League.	Male,Amb,Amb
33	[[Singer]] played a role in the cognitive revival of modern psychology.	Amb
34	In 2013, [[Cox]] began her recurring role in the Netflix series Orange is the New Black as Sophia Burset, a trans woman sent to prison for credit-card fraud.	Female
35	The column had characterized his teaching style as indoctrination, including an anonymous quote from another [[professor]] saying, "[[Ollman]] has no status within the profession, but is a pure and simple activist."	Amb,Male
36	In 2006, [[Wheeler]] defeated incumbent Multnomah County chair [[Diane Linn]] to become chairman of the Multnomah County Board of [[Commissioners]], taking office in January 2007.	Male,Amb,Amb
37	[[Kim]] expressed remorse at her actions and asked for the forgiveness of the [[families]] of [[those]] who had died.	Female,Amb,Amb
38	In both cases, the [[artist]] is often anonymous, and the art itself is ephemeral.	Amb
39	In 1996, running as the presidential [[candidate]] of the People's National Convention (PNC), he received 3.0% of the vote.	Male
40	The [[correspondent]], who signed the letter "a resident of Peckham", wrote: It appears that some [[individuals]] (of, as the writer believes, the highest ranks of life) have laid a wager with a mischievous and foolhardy [[companion]], that he durst not take upon himself the task of visiting many of the villages near London in three different disguises—a ghost, a bear, and a devil; and moreover, that he will not enter a [[gentleman's]] gardens for the purpose of alarming the [[inmates]] of the house.	Amb,Amb,Male,Male,Amb
41	If [[one]] has knowledge that a particular Mishnayot [[student]] is definitely bad then he may not be taught.	Amb,Male
42	He is the European [[Champion]] 2008.	Male
43	[[She]] also attended LWS School of Music, and her vocal talent was discovered by her music teacher [[Lee Wei Song]], who later introduced [[Sun]] to [[Samuel Chou]], the chairman of Warner Music Taiwan at the time.	Female,Amb,Female,Male
44	In 1947, [[he]] married [[Louise L'Heureux]], with whom he would have two [[sons]] and a [[daughter]].	Male,Amb,Male,Female
45	One of his own works was also premiered at the Frankfurt Opera in 1915: his one-act opera Die Geschwister, composed in 1913 after a poem by [[Johann Wolfgang von Goethe]].	Amb
46	She is also a [[member]] of the St. Louis County Council.	Female
47	Now, both [[Louise]] and her [[lover]] wanted to get rid from the 2-years-old [[Anna Monika Pia]].	Female,Amb,Amb
48	Several [[queens]] dedicated cultic solar discs to the Sun [[goddess]] in the city of Taḫurpa.	Female,Female
49	Her [[dad]] goes after [[her]] but then dies unexpectedly in a car accident.	Male,Female
50	In 1894 Emperor [[William II]] and Empress [[Augusta Victoria]] chose [[Rauch]] as the Second Military Governor and educator of Crown Prince [[William]], as well as of his two younger brothers Prince [[Eitel Friedrich]] and [[Adalbert]] for their training in the Princes´House on Ploen Princes' Island in Schleswig-Holstein.	Male,Female,Male,Male,Male,Male
51	She is an [[editor]] of the Oxford History of Historical Writing.	Female
52	This [[player]] loses.	Amb
53	Although [[she]] trained as a [[teacher]], she never taught school.	Female,Female
54	Its governor was [[Mao Zemin]], the younger brother of [[Mao Zedong]].	Male,Amb
55	In 1924, the [[Soviets]] created the Uzbek SSR and the Turkmen SSR.	Amb
