id	source with headwords	gender labels of headwords
1	Before giving the floor to our rapporteur, Mrs [[Smet]], [[we]] are going to hear from Mr [[Provan]] in his capacity as chairman of the European Parliament delegation to the Conciliation Committee.	Female,Amb,Male
2	Mr [[President]], [[ladies]] and [[gentlemen]], the policy of the Group of the Party of European Socialists is for every female [[citizen]] of the EU to have access to decision-making processes at local, regional, national and European level.	Male,Female,Male,Female
3	[[I]] am sure, however, that Mrs [[Banotti]] would like to reassure [[you]] of this fact straight away.	Amb,Female,Amb
4	According to the New York Times Magazine, this [[advisor]] to the [[President]], who has lived in Cambridge since 1968, apparently spent much of his meeting at the White House in January explaining to his distinguished [[host]] that there are two types of [[Muslims]] in Iraq: [[Shiites]] and [[Sunnis]].	Male,Amb,Amb,Amb,Amb,Amb
5	If [[we]] say there is a lack of women [[candidates]] – something of which we are very often accused – then we have to give some thought to how women are supposed to combine career, [[family]] and politics when they are constantly, too, having their consciences pricked by questions like: how can you do this, that, and the other, as well?	Amb,Female,Amb
6	[[We]] can continue counting on him as a [[partner]], for the new [[government]] neither will nor can alter the constitution that is coming into force.	Amb,Male,Amb
7	The term ‘better regulation’ is one that has recently been in frequent use, and [[I]] certainly agree with Mr [[Lehne]] that [[we]] should not throw out the [[baby]] with the bathwater and that this term is very often used rather loosely, and in such a way as to devalue it, in that it is not always clear what is meant by it.	Amb,Male,Amb,Amb
8	Mr [[President]], the European investment fund industry is re-inventing itself: cross-border competition is taking root; fund [[managers]] and service [[companies]] are merging; distribution systems are opening up and new products are being offered to retail [[investors]].	Male,Amb,Amb,Amb
9	In addition, Mr [[Stark]] has given assurances that he is prepared to engage in an open dialogue with [[Parliament]].	Male,Amb
10	The Scottish [[Executive]] support for Gaelic medium education should also be commended.	Amb
11	Twenty years ago a British TV documentary similarly recounted a story of a Saudi [[princess]] who was publicly executed for adultery.	Female
12	(PL) Mr [[President]], Mrs [[Malmström]], Mrs [[Wallström]], rather than use lofty words - and [[I]] have the impression that there is an inflation of lofty words in the European Parliament - it is worth thinking about why the Irish [[people]] said 'Yes', when last year they said 'No'.	Male,Female,Female,Amb,Amb
13	Your role must be not only that of a facilitator, Mr [[Van Rompuy]], but of a driving force behind this Europe, and [[we]] appeal to your democratic and pro-European sensibility to ensure that this new impetus will bring benefits for this Europe.	Male,Amb
14	In particular, at the end of 2009, the Danish [[authorities]] published the results from a number of studies that examined the cumulative impact of different endocrine-disrupting substances on sensitive [[groups]] such as young [[children]] and female [[workers]], as [[you]] mentioned in your question.	Amb,Amb,Amb,Female,Amb
