id	source with headwords	gender labels of headwords
1	Are you my [[mommy]]?	Female
2	Ms. [[Valentine]]	Female
3	King [[Nan]]	Male
4	[[Roman]] rule	Amb
5	Female [[superior]]	Female
6	L'Histoire d'une [[fée]], c'est...	Female
7	[[Hunter]]-warrior (Battle Angel Alita)	Amb
8	[[Director]]	Amb
9	[[Adolescent]] pregnancies	Female
10	[[Individual]] labour law	Amb
11	FIFA [[Manager]] Series	Amb
12	King [[Friedrich II]]	Male
13	[[Khan]] (Pashtun)	Amb
14	Prince [[Xavier]] of Bourbon-Parma	Male
15	1-2-3 [[Kid]]	Amb
16	[[Officer]] of the Most<br>Excellent Order of<br>the British Empire	Amb
17	[[Knight]] of the British Empire	Amb
18	The Fantastic Mr. [[Fox]]	Male
19	[[Director]] of the London School of Economics	Amb
20	Super [[Mario]] All-Stars - 25th Anniversary Edition	Male
21	Associated Press<br>Female [[Athlete]] of the Year	Female
22	Hurricane [[Smith]] (1952 film)	Amb
23	Diatribe of a Mad [[Housewife]]	Female
24	The Virginia [[Advocate]]	Amb
25	Lesbian [[rabbi]]	Female
26	[[Sassanid]] castles	Amb
27	Queen [[Elizabeth II's]]	Female
28	Green Imperial [[Pigeon]]	Amb
29	Vietnamese [[actresses]]	Female
30	[[junker]]	Amb
31	[[senior]] side	Amb
32	[[Marie de Bourbon]], Countess of Soissons	Female
33	Voice [[actor]]	Male
34	News [[Correspondent]]	Amb
35	Lord [[Chancellor]] of France	Male
36	female [[warrior]]	Female
37	Uncle [[Owen]]	Male
38	[[Fujiwara]] no morozane	Amb
39	[[Norman]]	Amb
40	The Virtuoso [[Pianist]]	Amb
41	Red-eared [[Parakeet]]	Amb
42	[[César]] Award	Amb
43	Malian women [[writers]]	Female
44	Princess [[Maria Amalia]] of Naples and Sicily	Female
45	Male [[dancers]]	Male
46	[[Python]] molurus ocellatus	Amb
47	Bafta award for best [[newcomer]]	Amb
48	[[Impersonator]]	Amb
49	[[Hunter]] x Hunter (2011)	Amb
50	Empress [[Livia]]	Female
51	There should be no problem as long as the [[politician]] causes no trouble to his [[family]] or [[society]]".	Male,Amb,Amb
52	Although [[everyone]] thinks she was born to be a classical [[pianist]], her true dream and passion is to be a pop star.	Amb,Female
53	The [[ghost]] appears, indicating that he wishes to speak to [[Amleto]] alone (Tu dêi sapere ch’io son l’anima lesa).	Male,Amb
54	In parallel with these telematic experiences, her sadomasochistic practices have evolved: [[I]] used to meet dominant [[men]] on Minitel.	Female,Male
55	[[Emily Hobhouse]] later wrote of [[her]]: "Your gift of seeing into the heart of things is so great, and [[you]] have control of such exquisite language for expressing moral and spiritual aspects".	Amb,Female,Female
56	Sajo Moane Dance Sajo Moane dance is a sacred dance performed by male [[dancers]].	Male
57	Its existence is known thanks to inscriptions found in the tombs of Fifth and Sixth Dynasties [[officials]] who served as priests of Ra in the temple.	Male
58	On 22 February 1815, [[she]] gave birth to a two-months premature [[baby]] girl, who was not expected to survive.	Female,Female
59	Right from the beginning [[he]] had the role of [[General Manager]] and he kept this position even in 1998 when together with the other [[shareholders]] he sold the Ferretti Group shares.	Male,Male,Amb
60	At Oxford, [[Douglas]] entered a relationship with a sophisticated Chinese student named [[Yingcheng]], or [[Betty Sze]], the daughter of a [[diplomat]].	Amb,Amb,Female,Amb
61	[[Kōtarō Iizawa]] calls the book "the strongest, most compassionate work by female [[photographer]] of that era."	Amb,Female
62	She is also a [[member]] of the trade union ver.di.	Female
63	A land [[salesman]] offers [[Bill Henry]] a much greater price for the land and Bill sells it, telling the [[lawyer]] to turn the money over to [[Lela]].	Male,Amb,Amb,Amb
64	A 2015 study by [[David Harper]] concluded that webcomics were vastly more popular format to female, transgender, and non-binary comic [[artists]] than for [[men]].	Amb,Female,Male
65	[[John Grant]] was married to [[Wintour's]] sister, [[Dorothy]], and was lord of the manor of Norbrook near Stratford-upon-Avon.	Male,Amb,Female
66	Patience appeared again when [[Sara]] [[Pezzini]], an officer of the New York City Police Department and wielder of the Witchblade, was attacked by a bloodthirsty [[demon]] posing as a young woman.	Female,Amb,Female
67	[[She]] participated in official acts and supported the [[sovereign]] and her [[husband]] during ceremonies that punctuated the life of the monarchy.	Female,Female,Male
68	[[She]] has worked as an [[executive]] in Telia InfoMedia, Sonera and ICT Turku.	Female,Female
69	In front of [[him]], the mysterious [[guest]] started to cry, and her tears became flowers when they reached the floor.	Male,Female
70	While it was rudimentary, [[Craven]] saw potential and set about perfecting it and turning into a lamp.	Amb
71	Later a freelance [[author]], he spent his time writing about the history of his [[family]] after the Meiji Restoration.	Male,Amb
72	From 1942 until his death, [[he]] was managing [[director]] of the Théâtre du Palais-Royal where he directed both his own plays and other that were played in the theater.	Male,Male
73	[[Lépine]] moved towards some of the female [[students]], wounding three of them and killing [[another]].	Amb,Female,Female
74	A number of other questionable shootings followed, including those of Dr. [[John Davis]] (said by [[some]] to have been told to run and then shot when he did) and Lt. Col. [[Frisby McCullough]] — a subordinate of [[Porter]] who was tried and sentenced to death as a bushwhacker, even though he was captured wearing a regular Confederate uniform and carrying letters authorizing him to recruit [[troops]].	Male,Amb,Male,Male,Amb
75	No male [[prisoners]] were taken alive and all [[wounded]] were immediately shot.	Male,Amb
76	The [[horse]] was then imported from France by [[Edward Coke]] and sent to his stud at Longford Hall, Derbyshire where he remained until the death of his [[owner]] in 1733.	Male,Amb,Amb
77	[[Wilbur]] diagnosed [[Mason]] with breast cancer in 1990, and she declined treatment; it later went into remission.	Amb,Female
