id	source with headwords	gender labels of headwords
1	[[Commissioner]], [[ladies]] and [[gentlemen]], [[I]] wish first of all to congratulate the French Presidency on initiating this debate. I should also particularly like to congratulate our former [[Vice-President]], who is fully aware of the problems [[we]] face in this House and of the great interest that the European Parliament takes in the debate on issues of equality between [[men]] and [[women]].	Amb,Female,Male,Amb,Amb,Amb,Male,Female
2	It was more than a personal accusation, and that is why, Mr [[President]], [[I]] should like you to allow Mr [[Miranda]] to take the floor, and to ensure that his restatement is included in the minutes.	Male,Amb,Male
3	Mrs [[Lulling]] represents my older female [[colleagues]] here, whereas [[I]] am the youngest female member of the PPE-DE Group.	Female,Female,Female
4	Utilisation of investment in information and communications technology furthermore helps prevent a situation where there is a shortage of skilled [[labour]] in the EU.	Amb
5	As [[you]] said, our colleague, Mrs [[Lambert]] also raised this point.	Amb,Female
6	[[Women]] have far too little power; far too few of them are at the helm of businesses, and in my country, the Netherlands, with 6% of female business [[managers]], they are worse off than anywhere else; [[we]] should hang our heads in shame.	Female,Female,Amb
7	Decentralised cooperation looks more towards the [[actors]] than towards economic resources or the sectoral contents of cooperation.	Amb
8	[[I]] might also mention that, in the example I cite, the [[doctors]] who discriminated between [[women]] and [[men]] in issuing prescriptions were women.	Amb,Female,Female,Male
9	[[I]] would like to thank the co-rapporteurs, Mr [[Dimitrakopoulos]], Mrs [[De Keyser]] and Mr [[Lagendijk]], for their help and constructive cooperation, and the [[Commission]] too for its constructive and supportive cooperation.	Amb,Male,Female,Male,Amb
10	Instead of offering practical help, Prime Minister [[Blair]] comes up with the startling proposal to slash 20% off [[farmers']] single-farm payments, on top of the existing 5% compulsory modulation that already exists and, as [[we]] have heard from Mr [[Goepel]], a further 8% that will be deducted to pay for Bulgaria and Romania.	Amb,Amb,Amb,Male
11	[[I]] know the vote was very close, Mr [[Van Orden]], but I do not think what Mrs [[Harms]] had to say affected the outcome of the vote.	Amb,Male,Female
12	The previous [[speaker]] was right, of course, when she stated that in a sense this is an exceptional agreement because of the scale and importance of the flights concerned.	Female
13	At the conference on company law organised by the German Presidency, Mr [[Lehne]] rightly said that the European Commission could be brought before the Court for Justice for failure to fulfil its obligations.	Male
14	In the areas of demographics, energy and telecommunications, [[we]] find projects funded both by the Structural Funds and by the rural development policy, which are working towards the same goals, but are the responsibility of different [[ministries]].	Amb,Amb
