id	source with headwords	gender labels of headwords
1	By 1816, his [[wife]] was expecting a fifth [[child]].	Female,Amb
2	[[He]] was the first [[President]] of the European Court of Human Rights in its new format after the ratification of Protocol 11, which opened up direct access for [[citizens]] from the 47 member states of the Council of Europe.	Male,Male,Amb
3	In 1970, while still a [[student]], [[he]] was sent to Egypt, where he was an interpreter of the Soviet military [[adviser]].	Male,Male,Amb
4	It was censored on television because of its depiction of female nudity - [[Farmer]] in particular - and sex.	Female
5	The creation took place in several stages: the opening of the museum was in 1935, the opening of the literary and memorial exhibition "The [[Writer]] and the Motherland" was in 1980–1985.	Amb
6	[[I]] have ordinary male abilities.	Male
7	From 1958 to 1960, the [[artist]] lived in the village of Pirogovo, where he painted landscapes.	Male
8	[[She]] later announced on Twitter that she was expecting a [[child]].	Female,Amb
9	Before a [[vice-president]] could be nominated, [[Parker]] sprang into action when he learned that the Democratic platform pointedly omitted reference to the monetary issue.	Amb,Male
10	With [[Smith]] in the [[director's]] chair, the Woody Woodpecker series maintained its trademark frenetic energy, while the animation itself was simplified, due to budget constraints.	Amb,Amb
11	In his apartment, the [[children]] learn that the Civil War [[hero]] is removed from the party.	Amb,Male
12	[[Chirac]] answered: "Here, [[you]] are not [[President]], and I am not Prime Minister.	Amb,Amb,Amb
13	His paintings began to know real success only from 1988 onwards, when the [[artist]] abandoned his disturbing images and began to concentrate and further elaborate on his technique, which is still evolving.	Male
14	Her last words were: "[[I]] hope that this night would sleep well".	Female
15	The song was originally written by and recorded by [[Beck]] and [[William Orbit]] with the intention of being a Beck track, but after [[Pink]] wanted to cover the song, Beck gave the song to her.	Amb,Amb,Female
16	Following [[Claude's]] help in retrieving an authenticated secret package [[Love]] disappears, leaving only an empty box in his penthouse garden.	Amb,Male
17	The drawings of thin female [[figures]] were not associated with any positive traits except youthfulness.	Female
18	In April, [[Scott]] said he didn't think the film will ever be made.	Male
19	This later became the foundation of the Monastery of St. [[Benedict]] (Mosteiro de São Bento).	Male
20	[[He]] won the award for best [[senator]] in 1996.	Male,Male
21	[[Cattle]] stalling was necessary to avoid [[cows]] giving less milk in cold conditions ([[Sherratt]], 1983; [[Zimermann]], 1999, 314; [[Olausson]] 1999, 321).	Amb,Female,Amb,Amb,Amb
22	In an interview published on 18 May 2011 in the Belgian newspaper Le Soir, [[Moby]] said he was very embarrassed and deemed the release of "The Day" as a single an "error", since [[Farmer]] was disappointed, thinking "it was her song".	Male,Female
23	They all in one way or another connected with the main character — [[Sergey Ogloedov]], in which the [[author]] described himself.	Male,Male
24	[[Rose]] is delighted and insists that [[he]] come with her to Pau.	Female,Male
25	She's the [[host]].	Female
26	By cross-referencing locations of [[Bibi's]] recent credit card purchases with buildings that feature the work of the [[artist]], the BND is able to narrow its search to a handful of locations.	Amb,Amb
27	December 20, 1991, was elected the first [[President]] of Yakutia, receiving 76.7% of the vote.	Amb
28	"Conceived initially as a pictorial allegory the book quickly evolved into a much deeper work, drawing inspiration from Taoism and Buddhism, but primarily from his experiences as an [[artist]]."	Male
29	[[Arable]] and [[cattle]] farming dominate large areas of the Havelland.	Amb,Amb
30	In late 2004 and early 2005, Fortescue chairman and then CEO [[Andrew Forrest]] made a series of announcements that Fortescue had entered into “binding agreements” with three significant Chinese state owned [[entities]] to build and finance infrastructure for the [[company]].	Male,Amb,Amb
